"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid","gCSI.tissueid"
"1","22RV1","22RV1","22Rv1","22RV1","","","","","22RV1","22Rv1","22RV1","","22RV1",NA,"prostate","prostate","prostate","","","","","prostate","prostate","urogenital_system ","","prostate","prostate","prostate",NA
"2","23132-87","23132-87","23132/87","","","","","","23132-87","23132_87","23132-87","","2313287","23132/87","stomach","stomach","","","","","","Stomach","stomach","digestive_system ","","stomach","stomach","stomach","Stomach"
"3","380","380","","","","","","","","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"4","5637","5637","5637","5637","","","","5637","5637","5637","","","5637",NA,"urinary_tract","urinary_tract","bladder","","","","URINARY_TRACT","Bladder","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract",NA
"5","639-V","639-V","639-V","639V","","","","","639-V","639-V","639-V","","639V",NA,"urinary_tract","urinary_tract","bladder","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract",NA
"6","647-V","647-V","647-V","647V","","","","","647-V","647-V","647-V","","647V",NA,"urinary_tract","urinary_tract","bladder","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract",NA
"7","697","697","697","","","","","","697","697","697","","697",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"8","769-P","769-P","769-P","769P","","","769-P","","769-P","769-P","769-P","","769P","769-P","kidney","kidney","kidney","","","Kidney","","Kidney","kidney","kidney ","","kidney","kidney","kidney","Kidney"
"9","786-0","786-0","786-O","786O","RE:786_0","","786-O","","786-o","786-O","","","786O","786-O","kidney","kidney","kidney","RE","","Kidney","","Kidney","kidney","","","kidney","kidney","kidney","Kidney"
"10","8305C","8305C","8305C","","","","","","8305C","8305C","8305C","","8305C","8305C","thyroid","thyroid","","","","","","Thyroid","thyroid","thyroid ","","thyroid","thyroid","thyroid","Thyroid"
"11","8505C","8505C","8505C","","","","","","8505C","8505C","8505C","","8505C","8505C","thyroid","thyroid","","","","","","thyroid","thyroid","thyroid ","","thyroid","thyroid","thyroid","Thyroid"
"12","8-MG-BA","8-MG-BA","8-MG-BA","","","","","","8-MG-BA","8-MG-BA","8-MG-BA","","8MGBA",NA,"central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system",NA
"13","A101D","A101D","A101D","A101D","","","","","A101D","A101D","A101D","","A101D",NA,"skin","skin","skin","","","","","Skin","skin","skin ","","skin","skin","skin",NA
"14","A172","A172","A172","A172","","","A172","","A172","A172","A172","","A172","A172","central_nervous_system","central_nervous_system","brain","","","Brain","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system","Brain"
"15","A204","A204","A-204","A204","","","","","A204","A-204","","","A204",NA,"soft_tissue","soft_tissue","muscle","","","","","Muscle","soft_tissue","","","soft_tissue","soft_tissue","soft_tissue",NA
"16","A2058","A2058","A2058","","","","A2058","","A2058","A2058","","","A2058","A2058","skin","skin","","","","Skin","","Skin","skin","","","skin","skin","skin","Skin"
"17","A253","A253","A-253","","","","","","A253","A-253","A253","","A253",NA,"skin","salivary_gland","","","","","","H&N","skin","aero_digestive_tract ","","skin","skin","salivary_gland",NA
"18","A2780","A2780","A2780","A2780","","","A2780","A2780","A2780","A2780","A2780","","A2780","A2780","ovary","ovary","ovary","","","Ovary","OVARY","Ovary","ovary","urogenital_system ","","ovary","ovary","ovary","Ovary"
"19","A375","A375","A-375","A375","","","A-375","A375","A375","A-375","A375","","A375","A-375","skin","skin","skin","","","Skin","SKIN","Skin","skin","skin ","","skin","skin","skin","Skin"
"20","A388","A388","","","","","","","A388","","","",NA,"A388","skin","","","","","","","Unknown","","","","skin","skin",NA,NA
"21","A3-KAW","A3-KAW","A3/KAW","","","","A3/KAW","","A3-KAW","A3_KAW","","","A3KAW",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"22","A427","A427","","A427","","","A-427","","A427","","A427","",NA,NA,"lung","","lung","","","Lung","","Lung:NSCLC","","lung ","","lung","lung",NA,NA
"23","A431","A431","","A431","","","A-431","","A431","","","",NA,"A-431","skin","","skin","","","Skin","","Skin","","","","skin","skin",NA,"Skin"
"24","A498","A498","A-498","A498","RE:A498","","A-498","","A498","A-498","A498","","A498","A-498","kidney","kidney","kidney","RE","","Kidney","","Kidney","kidney","kidney ","","kidney","kidney","kidney","Kidney"
"25","A4-Fuk","A4-Fuk","A4/Fuk","","","","A4/Fuk","","A4-Fuk","A4_Fuk","A4-Fuk","","A4FUK",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","","Skin","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"26","A549","A549","A549","A549","LC:A549","","A549","A549","A549","A549","A549","","A549","A549","lung","lung","lung","LC","","Lung","LUNG","Lung:NSCLC","lung","lung ","","lung","lung","lung","Lung"
"27","A673","A673","A-673","A673","","","A-673","","A673","A-673","A673","","A673","A-673","bone","bone","muscle","","","Skeletal Muscle","","Muscle","bone","soft_tissue ","","bone","bone","bone","Muscle"
"28","A704","A704","A-704","","","","","","A704","A-704","A704","",NA,NA,"kidney","kidney","","","","","","Kidney","kidney","kidney ","","kidney","kidney",NA,NA
"29","ABC-1","ABC-1","ABC-1","","","","ABC-1","","ABC-1","ABC-1","ABC-1","",NA,"ABC-1","lung","lung","","","","Lung","","Lung:NSCLC","lung","lung ","","lung","lung",NA,"Lung"
"30","ACHN","ACHN","ACHN","ACHN","RE:ACHN","","ACHN","","ACHN","ACHN","ACHN","","ACHN","ACHN","kidney","kidney","kidney","RE","","Kidney","","Kidney","kidney","kidney ","","kidney","kidney","kidney","Kidney"
"31","ACN","ACN","","","","","","","ACN","","ACN","",NA,NA,"autonomic_ganglia","","","","","","","autonomic_ganglia","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA,NA
"32","AGS","AGS","AGS","AGS","","","AGS","AGS","AGS","AGS","AGS","","AGS","AGS","stomach","stomach","stomach","","","Stomach","STOMACH","Stomach","stomach","digestive_system ","","stomach","stomach","stomach","Stomach"
"33","ALL-PO","ALL-PO","","","","","","","ALL-PO","","ALL-PO","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"34","AM-38","AM-38","AM-38","","","","","","AM-38","AM-38","","","AM38","AM-38","central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","","","central_nervous_system","central_nervous_system","central_nervous_system","Brain"
"35","AML-193","AML-193","AML-193","","","","","","","AML-193","","","AML193",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"36","AN3-CA","AN3-CA","AN3 CA","AN3CA","","","AN3 CA","","AN3-CA","AN3_CA","AN3-CA","","AN3CA","AN3 CA","endometrium","endometrium","uterus","","","Uterus","","Uterus","endometrium","urogenital_system ","","endometrium","endometrium","endometrium","Uterus"
"37","ARH-77","ARH-77","","ARH77","","","","","ARH-77","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"38","AsPC-1","AsPC-1","AsPC-1","ASPC1","","","AsPC-1","","AsPC-1","AsPC-1","AsPC-1","","ASPC1","AsPC-1","pancreas","pancreas","pancreas","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"39","ATN-1","ATN-1","","","","","","","ATN-1","","ATN-1","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"40","AU565","AU565","AU565","","","AU565","","","AU565","AU565","AU565","au565","AU565","AU565","breast","breast","","","breast","","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"41","B2-17","B2-17","","","","","","","","","","",NA,NA,"central_nervous_system","","","","","","","","","","","central_nervous_system","central_nervous_system",NA,NA
"42","BALL-1","BALL-1","","","","","","","BALL-1","","BALL-1","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"43","BB30-HNC","BB30-HNC","","","","","","","BB30-HNC","","BB30-HNC","",NA,NA,"upper_aerodigestive_tract","","","","","","","H&N","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA
"44","BB49-HNC","BB49-HNC","","","","","","","BB49-HNC","","BB49-HNC","",NA,NA,"upper_aerodigestive_tract","","","","","","","H&N","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA
"45","BB65-RCC","BB65-RCC","","","","","","","BB65-RCC","","BB65-RCC","",NA,NA,"kidney","","","","","","","Kidney","","kidney ","","kidney","kidney",NA,NA
"46","BC-1","BC-1","","BC1","","","","","BC-1","","BC-1","",NA,NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"47","BC-3","BC-3","","BC3","","","","","","","BC-3","",NA,NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"48","BCPAP","BCPAP","B-CPAP","","","","","","BCPAP","B-CPAP","BCPAP","","BCPAP","B-CPAP","thyroid","thyroid","","","","","","Thyroid","thyroid","thyroid ","","thyroid","thyroid","thyroid","Thyroid"
"49","BE-13","BE-13","","","","","","","BE-13","","BE-13","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"50","Becker","Becker","Becker","","","","","","Becker","","Becker","","BECKER",NA,"central_nervous_system","central_nervous_system","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system",NA
"51","BEN","BEN","BEN","","","","BEN","BEN","BEN","BEN","BEN","","BEN","BEN","lung","lung","","","","Lung","LUNG","Lung:NSCLC","lung","lung ","","lung","lung","lung","Lung"
"52","BFTC-905","BFTC-905","BFTC-905","BFTC905","","","BFTC-905","","BFTC-905","BFTC-905","BFTC-905","","BFTC905",NA,"urinary_tract","urinary_tract","bladder","","","Urinary Bladder","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract",NA
"53","BFTC-909","BFTC-909","BFTC-909","","","","BFTC-909","","BFTC-909","BFTC-909","BFTC-909","","BFTC909","BFTC-909","urinary_tract","kidney","","","","Kidney","","Kidney","urinary_tract","kidney ","","urinary_tract","urinary_tract","kidney","Kidney"
"54","BHT-101","BHT-101","BHT-101","BHT101","","","","","BHT-101","BHT-101","BHT-101","","BHT101",NA,"thyroid","thyroid","thyroid_gland","","","","","Thyroid","thyroid","thyroid ","","thyroid","thyroid","thyroid",NA
"55","BHY","BHY","BHY","","","","BHY","","BHY","BHY","BHY","","BHY","BHY","upper_aerodigestive_tract","upper_aerodigestive_tract","","","","Oral Cavity","","Head & Neck","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract","Head and Neck"
"56","BL-41","BL-41","BL-41","","","","","","BL-41","BL-41","BL-41","","BL41",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"57","BL-70","BL-70","BL-70","","","","","BL70","","BL-70","","","BL70",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"58","BOKU","BOKU","","","","","","","BOKU","","","",NA,"BOKU","cervix","","","","","","","Cervix","","","","cervix","cervix",NA,"Cervix"
"59","BONNA-12","BONNA-12","","","","","","","BONNA-12","","BONNA-12","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"60","BPH-1","BPH-1","","BPH1","","","","","BPH-1","","BPH-1","",NA,NA,"prostate","","prostate","","","","","Prostate","","urogenital_system ","","prostate","prostate",NA,NA
"61","BT-20","BT-20","BT-20","BT20","","BT20","BT-20","","BT-20","BT-20","BT-20","bt20","BT20","BT-20","breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"62","BT-474","BT-474","BT-474","BT474","","BT474","BT-474","","BT-474","BT-474","BT-474","bt474","BT474","BT-474","breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"63","BT-549","BT-549","BT-549","","BR:BT_549","BT549","BT-549","","BT-549","BT-549","BT-549","bt549","BT549","BT-549","breast","breast","","BR","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"64","BV-173","BV-173","BV-173","BV173","","","","","BV-173","BV-173","BV-173","","BV173",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"65","BxPC-3","BxPC-3","BxPC-3","BXPC3","","","BxPC-3","","BxPC-3","BxPC-3","BxPC-3","","BXPC3","BxPC-3","pancreas","pancreas","pancreas","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"66","C2BBe1","C2BBe1","C2BBe1","","","","C2BBe1","C2BBE1","C2BBe1","C2BBe1","C2BBe1","","C2BBE1","C2BBe1","large_intestine","large_intestine","","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"67","C32","C32","C32","C32TG","","","C32","","C32","C32","C32","","C32","C32","skin","skin","skin","","","Skin","","Skin","skin","skin ","","skin","skin","skin","Skin"
"68","C-33-A","C-33-A","","C33A","","","C-33 A","","C-33-A","","C-33-A","",NA,"C-33 A","cervix","","cervix_uteri","","","Cervix","","Cervix","","urogenital_system ","","cervix","cervix",NA,"Cervix"
"69","C3A","C3A","C3A","C3A","","","C3A","","C3A","","C3A","",NA,"C3A","liver","liver","liver","","","Liver","","Liver","","digestive_system ","","liver","liver",NA,"Liver"
"70","C-4-II","C-4-II","","C4II","","","","","","","","",NA,NA,"cervix","","cervix_uteri","","","","","","","","","cervix","cervix",NA,NA
"71","C8166","C8166","","","","","","","C8166","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"72","CA46","CA46","CA46","CA46","","","CA46","","CA46","CA46","CA46","","CA46","CA46","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood"
"73","Ca9-22","Ca9-22","","","","","","","Ca9-22","","Ca9-22","",NA,NA,"upper_aerodigestive_tract","","","","","","","Head & Neck","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA
"74","CAKI-1","CAKI-1","Caki-1","CAKI1","RE:CAKI_1","","Caki-1","","CAKI-1","Caki-1","CAKI-1","","CAKI1","Caki-1","kidney","kidney","kidney","RE","","Kidney","","Kidney","kidney","kidney ","","kidney","kidney","kidney","Kidney"
"75","CAL-120","CAL-120","CAL-120","","","CAL120","CAL-120","","CAL-120","CAL-120","CAL-120","cal120","CAL120","CAL-120","breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"76","CAL-12T","CAL-12T","CAL-12T","","","","CAL-12T","CAL12T","CAL-12T","CAL-12T","CAL-12T","","CAL12T","CAL-12T","lung","lung","","","","Lung","LUNG","Lung:NSCLC","lung","lung ","","lung","lung","lung","Lung"
"77","CAL-148","CAL-148","CAL-148","","","CAL148","CAL-148","","CAL-148","CAL-148","CAL-148","cal148","CAL148","CAL-148","breast","breast","","","breast","Breast","","breast","breast","breast ","breast","breast","breast","breast","Breast"
"78","CAL-27","CAL-27","CAL 27","CAL27","","","CAL 27","","CAL-27","CAL_27","CAL-27","","CAL27","CAL 27","upper_aerodigestive_tract","upper_aerodigestive_tract","head_and_neck","","","Tongue","","Mouth","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract","Head and Neck"
"79","CAL-33","CAL-33","CAL-33","","","","","","CAL-33","CAL-33","CAL-33","","CAL33",NA,"upper_aerodigestive_tract","upper_aerodigestive_tract","","","","","","H&N","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"80","CAL-39","CAL-39","","","","","","","CAL-39","","CAL-39","",NA,NA,"vulva","","","","","","","Cervix","","urogenital_system ","","vulva","vulva",NA,NA
"81","CAL-51","CAL-51","CAL-51","","","CAL51","CAL51","","CAL-51","CAL-51","","cal51","CAL51","CAL51","breast","breast","","","breast","Breast","","Breast","breast","","breast","breast","breast","breast","Breast"
"82","CAL-54","CAL-54","CAL-54","CAL54","","","CAL 54","","CAL-54","CAL-54","CAL-54","","CAL54","CAL 54","kidney","kidney","kidney","","","Kidney","","Kidney","kidney","kidney ","","kidney","kidney","kidney","Kidney"
"83","CAL-62","CAL-62","CAL-62","CAL62","","","","","CAL-62","CAL-62","CAL-62","","CAL62",NA,"thyroid","thyroid","thyroid_gland","","","","","thyroid","thyroid","thyroid ","","thyroid","thyroid","thyroid",NA
"84","CAL-72","CAL-72","","","","","","","CAL-72","","CAL-72","",NA,NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA,NA
"85","CAL-85-1","CAL-85-1","CAL-85-1","","","CAL851","CAL-85-1","","CAL-85-1","CAL-85-1","CAL-85-1","cal851","CAL851",NA,"breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast",NA
"86","Calu-1","Calu-1","Calu-1","CALU1","","","Calu-1","","","Calu-1","","","CALU1",NA,"lung","lung","lung","","","Lung","","","lung","","","lung","lung","lung",NA
"87","Calu-3","Calu-3","Calu-3","CALU3","","","Calu-3","CALU3","Calu-3","Calu-3","Calu-3","","CALU3","Calu-3","lung","lung","lung","","","Lung","LUNG","Lung:NSCLC","lung","lung ","","lung","lung","lung","Lung"
"88","Calu-6","Calu-6","Calu-6","CALU6","","","Calu-6","CALU6","Calu-6","Calu-6","Calu-6","","CALU6",NA,"lung","lung","lung","","","Lung","LUNG","Lung","lung","lung ","","lung","lung","lung",NA
"89","CAMA-1","CAMA-1","CAMA-1","","","CAMA1","CAMA-1","","CAMA-1","CAMA-1","CAMA-1","cama1","CAMA1","CAMA-1","breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"90","Caov-3","Caov-3","Caov-3","CAOV3","","","Caov-3","CAOV3","","Caov-3","Caov-3","","CAOV3",NA,"ovary","ovary","ovary","","","Ovary","OVARY","","ovary","urogenital_system ","","ovary","ovary","ovary",NA
"91","Caov-4","Caov-4","Caov-4","","","","","","Caov-4","Caov-4","Caov-4","",NA,NA,"ovary","ovary","","","","","","ovary","ovary","urogenital_system ","","ovary","ovary",NA,NA
"92","CAPAN-1","CAPAN-1","Capan-1","CAPAN1","","","Capan-1","","CAPAN-1","Capan-1","CAPAN-1","","CAPAN1","Capan-1","pancreas","pancreas","pancreas","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"93","Capan-2","Capan-2","Capan-2","CAPAN2","","","Capan-2","CAPAN2","Capan-2","Capan-2","Capan-2","","CAPAN2","Capan-2","pancreas","pancreas","pancreas","","","Pancreas","PANCREAS","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"94","CaR-1","CaR-1","","","","","CaR-1","","CaR-1","","CaR-1","",NA,"CaR-1","large_intestine","","","","","Colon","","Intestine","","digestive_system ","","large_intestine","large_intestine",NA,"Colon"
"95","CAS-1","CAS-1","CAS-1","","","","","","CAS-1","CAS-1","CAS-1","","CAS1",NA,"central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system",NA
"96","Ca-Ski","Ca-Ski","","","","","Ca Ski","","Ca-Ski","","Ca-Ski","",NA,"Ca Ski","cervix","","","","","Cervix","","Cervix","","urogenital_system ","","cervix","cervix",NA,"Cervix"
"97","CCF-STTG1","CCF-STTG1","CCF-STTG1","CCFSTTG1","","","","","CCF-STTG1","CCF-STTG1","","","CCFSTTG1","CCF-STTG1","central_nervous_system","central_nervous_system","central_nervous_system","","","","","central_nervous_system","central_nervous_system","","","central_nervous_system","central_nervous_system","central_nervous_system","Brain"
"98","CCRF-CEM","CCRF-CEM","","CCRFCEM","LE:CCRF_CEM","","","","CCRF-CEM","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","LE","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"99","CESS","CESS","","CESS","","","","","CESS","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"100","CFPAC-1","CFPAC-1","CFPAC-1","","","","CFPAC-1","CFPAC1","CFPAC-1","CFPAC-1","CFPAC-1","","CFPAC1","CFPAC-1","pancreas","pancreas","","","","Pancreas","PANCREAS","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"101","CGTH-W-1","CGTH-W-1","CGTH-W-1","CGTHW1","","","","","CGTH-W-1","","CGTH-W-1","","CGTHW1","CGTH-W-1","thyroid","thyroid","thyroid_gland","","","","","Thyroid","","thyroid ","","thyroid","thyroid","thyroid","Thyroid"
"102","ChaGo-K-1","ChaGo-K-1","ChaGo-K-1","CHAGOK1","","","ChaGo-K-1","CHAGOK1","ChaGo-K-1","ChaGo-K-1","","","CHAGOK1","ChaGo-K-1","lung","lung","lung","","","Lung","LUNG","Lung:NSCLC","lung","","","lung","lung","lung","Lung"
"103","CHL-1","CHL-1","CHL-1","CHL1","","","CHL-1","","CHL-1","","CHL-1","",NA,"CHL-1","skin","skin","skin","","","Skin","","Skin","","skin ","","skin","skin",NA,"Lung"
"104","CHP-126","CHP-126","CHP-126","","","","","","CHP-126","CHP-126","CHP-126","","CHP126",NA,"autonomic_ganglia","autonomic_ganglia","","","","","","Brain","autonomic_ganglia","nervous_system ","","autonomic_ganglia","autonomic_ganglia","autonomic_ganglia",NA
"105","CHP-134","CHP-134","","","","","","","CHP-134","","CHP-134","",NA,NA,"autonomic_ganglia","","","","","","","PNS","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA,NA
"106","CHP-212","CHP-212","CHP-212","CHP212","","","CHP-212","","CHP-212","CHP-212","CHP-212","","CHP212","CHP-212","autonomic_ganglia","autonomic_ganglia","brain","","","Brain","","Brain","autonomic_ganglia","nervous_system ","","autonomic_ganglia","autonomic_ganglia","autonomic_ganglia","Brain"
"107","CMK","CMK","CMK","","","","","","CMK","CMK","CMK","","CMK",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"108","CML-T1","CML-T1","CML-T1","CMLT1","","","","","CML-T1","CML-T1","CML-T1","","CMLT1",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"109","COLO-205","COLO-205","COLO 205","COLO205","CO:COLO205","","COLO 205","COLO205","COLO-205","","COLO-205","","COLO205","COLO 205","large_intestine","large_intestine","colon","CO","","Colon","LARGE_INTESTINE","Intestin","","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"110","COLO-320","","COLO-320","","","","","COLO320","","COLO-320","","",NA,"COLO 320","","large_intestine","","","","","LARGE_INTESTINE","","large_intestine","","","","",NA,"Colon"
"111","COLO-320-HSR","COLO-320-HSR","","COLO320HSR","","","","","COLO-320-HSR","","COLO-320-HSR","","COLO320","COLO 320HSR","large_intestine","","colon","","","","","Intestine","","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"112","COLO-668","COLO-668","COLO 668","COLO668","","","","COLO668","COLO-668","COLO_668","COLO-668","","COLO668",NA,"lung","lung","lung","","","","LUNG","Lung","lung","lung ","","lung","lung","lung",NA
"113","COLO-678","COLO-678","COLO-678","","","","COLO 678","COLO678","COLO-678","COLO-678","COLO-678","","COLO678","COLO 678","large_intestine","large_intestine","","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"114","COLO-679","COLO-679","COLO-679","","","","COLO 679","","COLO-679","COLO-679","","",NA,"COLO 679","skin","skin","","","","Skin","","Skin","skin","","","skin","skin",NA,"Skin"
"115","COLO-680N","COLO-680N","COLO-680N","","","","COLO 680N","","COLO-680N","COLO-680N","COLO-680N","","COLO680N","COLO 680N","oesophagus","oesophagus","","","","Esophagus","","Esophag","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus","Esophagus"
